buffer_size	n_voices	n_grains	peak_cpu	mean_cpu	stddev_cpu	overruns
256	4	8	0.19	0.19	0.00	0
256	4	16	0.34	0.33	0.00	0
256	4	24	0.49	0.48	0.01	0
256	4	32	0.62	0.62	0.00	0
256	4	40	0.77	0.77	0.01	0
256	4	48	0.92	0.91	0.00	0
256	4	56	1.06	1.06	0.00	0
256	4	64	1.20	1.20	0.00	0
256	4	72	1.34	1.34	0.00	0
256	4	80	1.49	1.48	0.00	0
256	4	88	1.63	1.63	0.00	0
256	4	96	1.77	1.77	0.00	0
256	4	104	1.92	1.91	0.00	0
256	4	112	2.06	2.05	0.00	0
256	4	120	2.20	2.20	0.00	0
256	4	128	2.34	2.34	0.00	0
256	8	8	0.26	0.26	0.00	0
256	8	16	0.41	0.41	0.00	0
256	8	24	0.55	0.55	0.00	0
256	8	32	0.69	0.69	0.00	0
256	8	40	0.83	0.83	0.00	0
256	8	48	0.98	0.98	0.00	0
256	8	56	1.12	1.12	0.00	0
256	8	64	1.26	1.26	0.00	0
256	8	72	1.41	1.40	0.00	0
256	8	80	1.55	1.55	0.00	0
256	8	88	1.69	1.69	0.00	0
256	8	96	1.84	1.83	0.00	0
256	8	104	1.97	1.97	0.00	0
256	8	112	2.12	2.12	0.00	0
256	8	120	2.26	2.26	0.00	0
256	8	128	2.40	2.40	0.00	0
256	12	8	0.33	0.33	0.00	0
256	12	16	0.47	0.47	0.00	0
256	12	24	0.61	0.61	0.00	0
256	12	32	0.75	0.75	0.00	0
256	12	40	0.90	0.90	0.00	0
256	12	48	1.04	1.04	0.00	0
256	12	56	1.18	1.18	0.00	0
256	12	64	1.32	1.32	0.00	0
256	12	72	1.47	1.47	0.00	0
256	12	80	1.61	1.61	0.00	0
256	12	88	1.75	1.75	0.00	0
256	12	96	1.89	1.89	0.00	0
256	12	104	2.04	2.04	0.00	0
256	12	112	2.18	2.18	0.00	0
256	12	120	2.32	2.32	0.00	0
256	12	128	2.46	2.46	0.00	0
256	16	8	0.39	0.39	0.00	0
256	16	16	0.53	0.53	0.00	0
256	16	24	0.67	0.67	0.00	0
256	16	32	0.82	0.81	0.00	0
256	16	40	0.96	0.96	0.00	0
256	16	48	1.10	1.10	0.00	0
256	16	56	1.24	1.24	0.00	0
256	16	64	1.39	1.39	0.00	0
256	16	72	1.53	1.53	0.00	0
256	16	80	1.67	1.67	0.00	0
256	16	88	1.82	1.81	0.00	0
256	16	96	1.96	1.96	0.00	0
256	16	104	2.10	2.10	0.00	0
256	16	112	2.24	2.24	0.00	0
256	16	120	2.38	2.38	0.00	0
256	16	128	2.53	2.52	0.00	0
256	20	8	0.45	0.45	0.00	0
256	20	16	0.59	0.59	0.00	0
256	20	24	0.73	0.73	0.00	0
256	20	32	0.88	0.88	0.00	0
256	20	40	1.02	1.02	0.00	0
256	20	48	1.16	1.16	0.00	0
256	20	56	1.31	1.30	0.00	0
256	20	64	1.45	1.45	0.00	0
256	20	72	1.62	1.60	0.01	0
256	20	80	1.77	1.74	0.01	0
256	20	88	1.87	1.87	0.00	0
256	20	96	2.02	2.02	0.00	0
256	20	104	2.16	2.16	0.00	0
256	20	112	2.30	2.30	0.00	0
256	20	120	2.44	2.44	0.00	0
256	20	128	2.59	2.59	0.00	0
256	24	8	0.51	0.51	0.00	0
256	24	16	0.65	0.65	0.00	0
256	24	24	0.80	0.79	0.00	0
256	24	32	0.94	0.94	0.00	0
256	24	40	1.08	1.08	0.00	0
256	24	48	1.22	1.22	0.00	0
256	24	56	1.37	1.37	0.00	0
256	24	64	1.51	1.51	0.00	0
256	24	72	1.65	1.65	0.00	0
256	24	80	1.79	1.79	0.00	0
256	24	88	1.94	1.94	0.00	0
256	24	96	2.08	2.08	0.00	0
256	24	104	2.22	2.22	0.00	0
256	24	112	2.36	2.36	0.00	0
256	24	120	2.51	2.51	0.00	0
256	24	128	2.65	2.65	0.00	0
256	28	8	0.57	0.57	0.00	0
