buffer_size	n_voices	n_grains	peak_cpu	mean_cpu	stddev_cpu	overruns
256	4	8	0.79	0.70	0.05	0
256	4	16	1.18	1.18	0.00	0
256	4	24	1.72	1.69	0.02	0
256	4	32	2.20	2.19	0.00	0
256	4	40	2.75	2.72	0.02	0
256	4	48	3.23	3.22	0.01	0
256	4	56	3.74	3.74	0.00	0
256	4	64	4.27	4.27	0.00	0
256	4	72	4.80	4.76	0.04	0
256	4	80	5.32	5.29	0.03	0
256	4	88	5.84	5.81	0.04	0
256	4	96	6.38	6.38	0.00	0
256	4	104	6.92	6.91	0.01	0
256	4	112	7.42	7.41	0.01	0
256	4	120	7.95	7.93	0.01	0
256	4	128	10.05	8.76	0.65	0
256	8	8	0.86	0.86	0.00	0
256	8	16	1.36	1.36	0.00	0
256	8	24	1.87	1.87	0.00	0
256	8	32	2.39	2.38	0.01	0
256	8	40	2.89	2.89	0.00	0
256	8	48	3.41	3.40	0.01	0
256	8	56	3.93	3.93	0.00	0
256	8	64	4.44	4.43	0.01	0
256	8	72	11.61	6.81	2.62	0
256	8	80	10.64	6.51	2.06	0
256	8	88	6.04	6.03	0.01	0
256	8	96	6.57	6.55	0.02	0
256	8	104	16.60	9.98	3.73	0
256	8	112	7.63	7.60	0.02	0
256	8	120	16.96	11.01	3.68	0
256	8	128	8.65	8.65	0.00	0
256	12	8	1.05	1.05	0.00	0
256	12	16	1.55	1.55	0.00	0
256	12	24	2.06	2.04	0.02	0
256	12	32	5.99	4.45	1.57	0
256	12	40	7.16	4.07	1.59	0
256	12	48	3.60	3.59	0.00	0
256	12	56	4.12	4.11	0.00	0
256	12	64	10.76	7.51	2.71	0
256	12	72	5.17	5.15	0.02	0
256	12	80	5.69	5.67	0.03	0
256	12	88	6.22	6.20	0.03	0
256	12	96	15.78	9.62	3.49	0
256	12	104	7.30	7.30	0.01	0
256	12	112	16.96	9.63	3.67	0
256	12	120	13.62	9.37	2.12	0
256	12	128	8.86	8.84	0.01	0
256	16	8	1.25	1.24	0.00	0
256	16	16	1.74	1.74	0.00	0
256	16	24	5.25	4.21	1.30	0
256	16	32	6.44	3.69	1.43	0
256	16	40	3.28	3.27	0.00	0
256	16	48	3.79	3.79	0.00	0
256	16	56	4.31	4.30	0.00	0
256	16	64	4.83	4.83	0.00	0
256	16	72	12.50	8.25	2.91	0
256	16	80	5.88	5.88	0.00	0
256	16	88	6.41	6.41	0.00	0
256	16	96	9.93	7.54	1.20	0
256	16	104	17.46	9.78	3.88	0
256	16	112	7.98	7.98	0.00	0
256	16	120	19.91	11.33	4.42	0
256	16	128	9.38	9.09	0.14	0
256	20	8	1.43	1.43	0.00	0
256	20	16	1.96	1.94	0.01	0
256	20	24	2.44	2.44	0.00	0
256	20	32	2.95	2.95	0.00	0
256	20	40	8.08	4.88	1.86	0
256	20	48	9.30	5.46	2.08	0
256	20	56	4.51	4.50	0.01	0
256	20	64	5.02	5.02	0.00	0
256	20	72	5.55	5.54	0.00	0
256	20	80	14.19	8.97	3.16	0
256	20	88	6.60	6.60	0.00	0
256	20	96	14.46	10.03	3.55	0
256	20	104	7.68	7.67	0.01	0
256	20	112	8.17	8.17	0.00	0
256	20	120	18.73	11.58	3.97	0
256	20	128	9.21	9.19	0.03	0
256	24	8	1.62	1.62	0.00	0
256	24	16	4.96	3.13	1.25	0
256	24	24	6.15	4.52	1.60	0
256	24	32	3.15	3.13	0.03	0
256	24	40	3.70	3.64	0.04	0
256	24	48	4.18	4.16	0.02	0
256	24	56	4.69	4.66	0.04	0
256	24	64	12.18	7.73	3.11	0
256	24	72	7.64	6.12	0.76	0
256	24	80	14.64	8.48	3.25	0
256	24	88	10.20	7.47	1.36	0
256	24	96	7.38	7.34	0.02	0
256	24	104	16.82	9.65	3.58	0
256	24	112	13.92	9.47	2.22	0
256	24	120	20.74	11.78	4.59	0
256	24	128	9.50	9.43	0.04	0
256	28	8	1.82	1.82	0.00	0
256	28	16	3.18	2.49	0.34	0
256	28	24	6.60	5.55	1.47	0
256	28	32	3.34	3.33	0.00	0
256	28	40	3.85	3.84	0.00	0
256	28	48	10.19	7.26	2.51	0
256	28	56	4.88	4.88	0.00	0
256	28	64	5.41	5.40	0.00	0
256	28	72	5.93	5.93	0.00	0
256	28	80	15.08	9.35	3.62	0
256	28	88	7.00	6.99	0.01	0
256	28	96	16.69	10.58	3.72	0
256	28	104	14.67	9.51	2.58	0
256	28	112	16.62	10.23	3.19	0
256	28	120	20.55	11.97	4.44	0
256	28	128	9.61	9.61	0.01	0
256	32	8	2.02	2.01	0.01	0
256	32	16	5.85	3.54	1.35	0
256	32	24	7.03	4.88	1.82	0
256	32	32	3.53	3.53	0.00	0
256	32	40	4.04	4.04	0.00	0
256	32	48	10.63	6.08	2.35	0
256	32	56	12.00	6.46	2.77	0
256	32	64	5.60	5.60	0.00	0
256	32	72	6.13	6.12	0.00	0
256	32	80	15.09	9.53	3.65	0
256	32	88	7.18	7.16	0.03	0
256	32	96	15.62	10.57	3.53	0
256	32	104	8.31	8.26	0.02	0
256	32	112	20.44	11.41	4.56	0
256	32	120	10.40	9.53	0.44	0
