buffer_size	n_voices	n_grains	peak_cpu	mean_cpu	stddev_cpu	overruns
256	4	8	0.33	0.32	0.01	0
256	4	16	0.51	0.51	0.00	0
256	4	24	0.73	0.73	0.00	0
256	4	32	0.96	0.95	0.00	0
256	4	40	1.18	1.18	0.00	0
256	4	48	1.44	1.41	0.01	0
256	4	56	1.65	1.64	0.00	0
256	4	64	1.89	1.88	0.01	0
256	4	72	2.13	2.11	0.01	0
256	4	80	2.35	2.34	0.01	0
256	4	88	2.59	2.58	0.01	0
256	4	96	2.82	2.66	0.09	0
256	4	104	3.06	3.03	0.03	0
256	4	112	3.30	3.29	0.01	0
256	4	120	3.52	3.51	0.00	0
256	4	128	3.77	3.76	0.00	0
256	8	8	0.40	0.39	0.00	0
256	8	16	0.60	0.60	0.00	0
256	8	24	0.82	0.82	0.00	0
256	8	32	1.06	1.00	0.04	0
256	8	40	1.27	1.20	0.04	0
256	8	48	1.50	1.50	0.00	0
256	8	56	1.74	1.73	0.01	0
256	8	64	1.97	1.97	0.00	0
256	8	72	2.24	2.21	0.02	0
256	8	80	2.45	2.43	0.01	0
256	8	88	2.67	2.66	0.00	0
256	8	96	2.93	2.89	0.04	0
256	8	104	3.15	3.02	0.11	0
256	8	112	3.37	3.37	0.00	0
256	8	120	3.60	3.60	0.00	0
256	8	128	3.87	3.86	0.00	0
256	12	8	0.63	0.51	0.06	0
256	12	16	0.70	0.69	0.00	0
256	12	24	0.91	0.91	0.00	0
256	12	32	1.15	1.09	0.04	0
256	12	40	1.26	1.26	0.00	0
256	12	48	1.61	1.57	0.05	0
256	12	56	1.85	1.83	0.01	0
256	12	64	2.06	2.06	0.00	0
256	12	72	2.31	2.30	0.01	0
256	12	80	2.55	2.54	0.01	0
256	12	88	2.76	2.76	0.00	0
256	12	96	3.02	3.00	0.01	0
256	12	104	3.23	3.23	0.00	0
256	12	112	3.46	3.30	0.12	0
256	12	120	3.71	3.70	0.01	0
256	12	128	3.96	3.95	0.00	0
256	16	8	0.58	0.58	0.00	0
256	16	16	0.79	0.79	0.00	0
256	16	24	1.02	1.02	0.00	0
256	16	32	1.24	1.24	0.00	0
256	16	40	1.48	1.47	0.01	0
256	16	48	1.71	1.69	0.01	0
256	16	56	1.93	1.85	0.07	0
256	16	64	2.19	2.14	0.05	0
256	16	72	2.40	2.39	0.00	0
256	16	80	2.65	2.63	0.01	0
256	16	88	2.88	2.86	0.01	0
256	16	96	3.10	3.09	0.00	0
256	16	104	3.33	3.30	0.04	0
256	16	112	3.57	3.48	0.11	0
256	16	120	3.81	3.80	0.01	0
256	16	128	4.08	4.06	0.01	0
256	20	8	0.68	0.68	0.00	0
256	20	16	0.90	0.89	0.00	0
256	20	24	1.11	1.11	0.00	0
256	20	32	1.36	1.34	0.01	0
256	20	40	1.56	1.56	0.00	0
256	20	48	1.79	1.79	0.00	0
256	20	56	2.03	1.98	0.06	0
256	20	64	2.08	2.08	0.00	0
256	20	72	2.49	2.47	0.04	0
256	20	80	2.74	2.72	0.01	0
256	20	88	2.99	2.97	0.02	0
256	20	96	3.19	3.19	0.00	0
256	20	104	3.44	3.42	0.01	0
256	20	112	3.67	3.58	0.10	0
256	20	120	3.91	3.90	0.01	0
256	20	128	4.17	4.16	0.01	0
256	24	8	0.78	0.77	0.00	0
256	24	16	0.98	0.98	0.00	0
256	24	24	1.21	1.20	0.00	0
256	24	32	1.43	1.43	0.00	0
256	24	40	1.66	1.66	0.00	0
256	24	48	1.90	1.88	0.01	0
256	24	56	2.13	2.12	0.01	0
256	24	64	2.36	2.35	0.01	0
256	24	72	2.59	2.58	0.00	0
256	24	80	2.85	2.83	0.01	0
256	24	88	3.08	3.06	0.01	0
256	24	96	3.30	3.29	0.01	0
256	24	104	3.52	3.46	0.10	0
256	24	112	3.76	3.76	0.00	0
256	24	120	4.00	3.99	0.01	0
256	24	128	4.25	4.24	0.00	0
256	28	8	0.87	0.87	0.00	0
256	28	16	1.08	1.08	0.00	0
256	28	24	1.30	1.27	0.04	0
256	28	32	1.41	1.41	0.00	0
256	28	40	1.62	1.62	0.00	0
256	28	48	1.94	1.85	0.05	0
256	28	56	2.23	2.21	0.01	0
256	28	64	2.45	2.44	0.00	0
256	28	72	2.68	2.68	0.00	0
256	28	80	2.94	2.92	0.01	0
256	28	88	3.16	3.14	0.01	0
256	28	96	3.38	3.38	0.00	0
256	28	104	3.65	3.62	0.02	0
256	28	112	3.87	3.86	0.01	0
256	28	120	4.13	4.10	0.02	0
256	28	128	4.36	4.34	0.01	0
256	32	8	0.96	0.96	0.00	0
256	32	16	1.18	1.18	0.00	0
256	32	24	1.40	1.39	0.00	0
256	32	32	1.62	1.61	0.00	0
256	32	40	1.86	1.85	0.00	0
256	32	48	2.07	2.07	0.00	0
256	32	56	2.33	2.31	0.01	0
256	32	64	2.55	2.54	0.00	0
256	32	72	2.78	2.78	0.00	0
256	32	80	3.03	3.02	0.01	0
256	32	88	3.11	3.02	0.05	0
256	32	96	3.50	3.48	0.02	0
256	32	104	3.73	3.72	0.00	0
256	32	112	3.95	3.95	0.00	0
256	32	120	4.19	4.18	0.00	0
256	32	128	4.44	4.41	0.05	0
256	36	8	1.07	1.06	0.01	0
256	36	16	1.27	1.27	0.00	0
256	36	24	1.50	1.49	0.00	0
256	36	32	1.72	1.71	0.00	0
256	36	40	1.94	1.94	0.00	0
256	36	48	2.16	2.16	0.00	0
256	36	56	2.41	2.40	0.00	0
256	36	64	2.64	2.63	0.00	0
256	36	72	2.88	2.87	0.00	0
256	36	80	3.12	3.11	0.01	0
256	36	88	3.38	3.34	0.02	0
256	36	96	3.58	3.57	0.01	0
256	36	104	3.82	3.82	0.01	0
256	36	112	4.05	4.04	0.01	0
256	36	120	4.30	4.28	0.01	0
256	36	128	4.55	4.53	0.01	0
256	40	8	1.16	1.15	0.00	0
256	40	16	1.38	1.37	0.00	0
256	40	24	1.59	1.55	0.05	0
256	40	32	1.68	1.67	0.00	0
256	40	40	1.90	1.88	0.01	0
256	40	48	2.18	2.10	0.04	0
256	40	56	2.52	2.51	0.01	0
256	40	64	2.75	2.73	0.01	0
256	40	72	2.97	2.97	0.00	0
256	40	80	3.22	3.21	0.01	0
256	40	88	3.49	3.44	0.02	0
256	40	96	3.67	3.67	0.00	0
256	40	104	3.90	3.90	0.00	0
256	40	112	4.16	4.14	0.01	0
256	40	120	4.39	4.37	0.01	0
256	40	128	4.67	4.65	0.02	0
256	44	8	1.26	1.25	0.00	0
256	44	16	1.49	1.47	0.01	0
256	44	24	1.70	1.68	0.01	0
256	44	32	1.91	1.90	0.00	0
256	44	40	2.15	2.14	0.01	0
256	44	48	2.37	2.36	0.01	0
256	44	56	2.59	2.59	0.00	0
256	44	64	2.83	2.83	0.00	0
256	44	72	3.09	3.07	0.02	0
256	44	80	3.31	3.26	0.08	0
256	44	88	3.54	3.53	0.01	0
256	44	96	3.77	3.76	0.00	0
256	44	104	4.01	4.00	0.01	0
256	44	112	4.27	4.11	0.14	0
256	44	120	4.49	4.48	0.01	0
256	44	128	4.72	4.72	0.00	0
256	48	8	1.35	1.35	0.01	0
256	48	16	1.56	1.56	0.00	0
256	48	24	1.79	1.78	0.01	0
256	48	32	1.94	1.87	0.04	0
256	48	40	2.25	2.23	0.01	0
256	48	48	2.45	2.45	0.00	0
256	48	56	2.70	2.69	0.01	0
256	48	64	2.93	2.92	0.00	0
256	48	72	3.19	3.17	0.01	0
256	48	80	3.39	3.26	0.11	0
256	48	88	3.65	3.64	0.01	0
256	48	96	3.94	3.87	0.04	0
256	48	104	4.10	4.09	0.01	0
256	48	112	4.35	4.33	0.01	0
256	48	120	4.58	4.51	0.11	0
256	48	128	4.81	4.74	0.14	0
256	52	8	1.45	1.44	0.00	0
256	52	16	1.66	1.65	0.00	0
256	52	24	1.88	1.87	0.01	0
256	52	32	2.10	2.09	0.00	0
256	52	40	2.36	2.33	0.01	0
256	52	48	2.55	2.51	0.08	0
256	52	56	2.78	2.70	0.10	0
256	52	64	3.08	3.05	0.02	0
256	52	72	3.29	3.27	0.01	0
256	52	80	3.51	3.50	0.01	0
256	52	88	3.73	3.72	0.01	0
256	52	96	3.96	3.83	0.13	0
256	52	104	4.21	4.19	0.01	0
256	52	112	4.45	4.43	0.01	0
256	52	120	4.68	4.66	0.01	0
256	52	128	4.91	4.88	0.05	0
256	56	8	1.51	1.44	0.04	0
256	56	16	1.75	1.75	0.00	0
256	56	24	1.99	1.97	0.01	0
256	56	32	2.20	2.19	0.00	0
256	56	40	2.43	2.42	0.00	0
256	56	48	2.66	2.65	0.01	0
256	56	56	2.88	2.88	0.00	0
256	56	64	3.12	2.99	0.10	0
256	56	72	3.37	3.35	0.01	0
256	56	80	3.59	3.58	0.01	0
256	56	88	3.83	3.82	0.01	0
256	56	96	4.06	4.05	0.01	0
256	56	104	4.29	4.15	0.13	0
256	56	112	4.55	4.53	0.02	0
256	56	120	4.76	4.75	0.01	0
256	56	128	5.02	4.93	0.15	0
256	60	8	1.63	1.59	0.05	0
256	60	16	1.85	1.84	0.00	0
256	60	24	2.07	2.06	0.00	0
256	60	32	2.30	2.29	0.01	0
256	60	40	2.52	2.52	0.00	0
256	60	48	2.77	2.74	0.02	0
256	60	56	2.97	2.97	0.00	0
256	60	64	3.21	3.21	0.00	0
256	60	72	3.44	3.32	0.12	0
256	60	80	3.68	3.68	0.00	0
256	60	88	3.92	3.91	0.01	0
256	60	96	4.15	4.15	0.00	0
256	60	104	4.41	4.28	0.15	0
256	60	112	4.63	4.61	0.02	0
256	60	120	4.87	4.85	0.01	0
256	60	128	5.11	5.10	0.01	0
256	64	8	1.73	1.66	0.06	0
256	64	16	1.93	1.87	0.07	0
256	64	24	2.16	2.15	0.00	0
256	64	32	2.41	2.39	0.01	0
256	64	40	2.63	2.61	0.01	0
256	64	48	2.89	2.85	0.02	0
256	64	56	3.07	3.07	0.00	0
256	64	64	3.31	3.30	0.00	0
256	64	72	3.56	3.46	0.12	0
256	64	80	3.77	3.71	0.11	0
256	64	88	4.03	4.01	0.01	0
256	64	96	4.25	4.24	0.01	0
256	64	104	4.47	4.44	0.05	0
256	64	112	4.71	4.61	0.14	0
256	64	120	4.94	4.94	0.01	0
256	64	128	5.20	5.20	0.01	0
512	4	8	0.30	0.29	0.00	0
512	4	16	0.50	0.50	0.00	0
512	4	24	0.72	0.72	0.00	0
512	4	32	0.97	0.91	0.04	0
512	4	40	1.11	1.09	0.02	0
512	4	48	1.39	1.39	0.00	0
512	4	56	1.62	1.62	0.00	0
512	4	64	1.87	1.86	0.01	0
512	4	72	2.10	2.08	0.01	0
512	4	80	2.31	2.30	0.00	0
512	4	88	2.53	2.53	0.00	0
512	4	96	2.79	2.76	0.02	0
512	4	104	2.97	2.84	0.09	0
512	4	112	3.21	3.20	0.01	0
512	4	120	3.43	3.42	0.00	0
512	4	128	3.69	3.68	0.01	0
512	8	8	0.39	0.38	0.00	0
512	8	16	0.60	0.59	0.00	0
512	8	24	0.81	0.81	0.00	0
512	8	32	1.04	1.04	0.00	0
512	8	40	1.27	1.26	0.01	0
512	8	48	1.49	1.48	0.01	0
512	8	56	1.71	1.71	0.00	0
512	8	64	1.95	1.94	0.01	0
512	8	72	2.17	2.04	0.07	0
512	8	80	2.40	2.39	0.01	0
512	8	88	2.63	2.61	0.01	0
512	8	96	2.86	2.84	0.01	0
512	8	104	3.08	3.06	0.01	0
512	8	112	3.30	3.29	0.01	0
512	8	120	3.51	3.38	0.11	0
512	8	128	3.76	3.75	0.00	0
512	12	8	0.48	0.48	0.00	0
512	12	16	0.69	0.69	0.00	0
512	12	24	0.91	0.90	0.00	0
512	12	32	1.16	1.13	0.01	0
512	12	40	1.38	1.36	0.01	0
512	12	48	1.58	1.57	0.00	0
512	12	56	1.81	1.81	0.00	0
512	12	64	2.05	2.04	0.00	0
512	12	72	2.27	2.16	0.08	0
512	12	80	2.49	2.49	0.00	0
512	12	88	2.72	2.71	0.01	0
512	12	96	2.93	2.93	0.00	0
512	12	104	3.18	3.15	0.01	0
512	12	112	3.39	3.38	0.01	0
512	12	120	3.61	3.39	0.11	0
512	12	128	3.59	3.56	0.02	0
512	16	8	0.58	0.57	0.00	0
512	16	16	0.79	0.79	0.00	0
512	16	24	1.00	1.00	0.00	0
512	16	32	1.24	1.23	0.01	0
512	16	40	1.45	1.45	0.00	0
512	16	48	1.69	1.67	0.01	0
512	16	56	1.92	1.91	0.01	0
512	16	64	2.16	2.14	0.01	0
512	16	72	2.36	2.36	0.00	0
512	16	80	2.60	2.55	0.08	0
512	16	88	2.81	2.70	0.10	0
512	16	96	3.15	3.05	0.05	0
512	16	104	3.24	3.24	0.00	0
512	16	112	3.49	3.48	0.01	0
512	16	120	3.71	3.70	0.01	0
512	16	128	3.96	3.83	0.13	0
512	20	8	0.67	0.67	0.00	0
512	20	16	0.90	0.88	0.01	0
512	20	24	1.10	1.09	0.00	0
512	20	32	1.32	1.32	0.00	0
512	20	40	1.55	1.54	0.00	0
512	20	48	1.76	1.76	0.00	0
512	20	56	2.00	1.99	0.00	0
512	20	64	2.23	2.23	0.00	0
512	20	72	2.47	2.46	0.01	0
512	20	80	2.67	2.54	0.09	0
512	20	88	2.92	2.90	0.01	0
512	20	96	3.12	3.11	0.00	0
512	20	104	3.37	3.35	0.01	0
512	20	112	3.60	3.57	0.01	0
512	20	120	3.80	3.79	0.01	0
512	20	128	4.03	3.89	0.13	0
512	24	8	0.76	0.76	0.00	0
512	24	16	0.99	0.97	0.01	0
512	24	24	1.19	1.18	0.00	0
512	24	32	1.41	1.41	0.00	0
512	24	40	1.64	1.64	0.01	0
512	24	48	1.86	1.85	0.00	0
512	24	56	2.10	2.09	0.01	0
512	24	64	2.32	2.32	0.00	0
512	24	72	2.58	2.55	0.01	0
512	24	80	2.77	2.70	0.07	0
512	24	88	2.99	2.99	0.00	0
